;Value of livre (1450-1796) and of franc (1797-1870);
1609;10,992;
1610;10,992;
1611;10,992;
1612;10,992;
1613;10,992;
1614;10,992;
1615;10,992;
1616;10,992;
1617;10,992;
1618;10,992;
1619;10,992;
1620;10,992;
1621;10,992;
1622;10,992;
1623;10,992;
1624;10,992;
1625;10,992;
1626;10,992;
1627;10,992;
1628;10,992;
1629;10,992;
1630;10,992;
1631;10,992;
1632;10,992;
1633;10,992;
1634;10,992;
1635;10,992;
1636;9,839;
1637;8,685;
1638;8,685;
1639;8,685;
1640;8,685;
1641;8,655;
1642;8,324;
1643;8,324;
1644;8,324;
1645;8,324;
1646;8,324;
1647;8,324;
1648;8,324;
1649;8,324;
1650;8,324;
1651;8,324;
1652;7,756;
1653;7,341;
1654;8,225;
1655;8,324;
1656;7,605;
1657;7,605;
1658;7,605;
1659;7,605;
1660;7,605;
1661;7,605;
1662;7,605;
1663;7,605;
1664;7,605;
1665;7,605;
1666;8,516;
1667;8,324;
1668;8,324;
1669;8,324;
1670;8,324;
1671;8,324;
1672;8,324;
1673;8,324;
1674;8,324;
1675;8,324;
1676;8,324;
1677;8,324;
1678;8,324;
1679;8,324;
1680;8,324;
1681;8,324;
1682;8,324;
1683;8,324;
1684;8,324;
1685;8,220;
1686;8,008;
1687;8,008;
1688;8,008;
1689;8,008;
1690;7,567;
1691;7,567;
1692;7,615;
1693;7,639;
1694;6,936;
1695;6,936;
1696;6,936;
1697;6,936;
1698;6,936;
1699;6,936;
1700;7,266;
1701;7,550;
1702;7,375;
1703;7,002;
1704;7,071;
1705;6,475;
1706;6,813;
1707;7,034;
1708;7,109;
1709;6,828;
1710;6,936;
1711;6,936;
1712;6,936;
1713;6,832;
1714;6,228;
1715;7,529;
1716;5,545;
1717;7,804;
1718;3,872;
1719;3,872;
1720;2,659;
1721;2,969;
1722;2,969;
1723;3,076;
1724;4,516;
1725;5,448;
1726;4,825;
1727;4,454;
1728;4,454;
1729;4,454;
1730;4,454;
1731;4,454;
1732;4,454;
1733;4,454;
1734;4,454;
1735;4,454;
1736;4,454;
1737;4,454;
1738;4,454;
1739;4,454;
1740;4,454;
1741;4,454;
1742;4,454;
1743;4,454;
1744;4,454;
1745;4,454;
1746;4,454;
1747;4,454;
1748;4,454;
1749;4,454;
1750;4,454;
1751;4,454;
1752;4,454;
1753;4,454;
1754;4,454;
1755;4,454;
1756;4,454;
1757;4,454;
1758;4,454;
1759;4,454;
1760;4,454;
1761;4,454;
1762;4,454;
1763;4,454;
1764;4,454;
1765;4,454;
1766;4,454;
1767;4,454;
1768;4,454;
1769;4,454;
1770;4,454;
1771;4,454;
1772;4,454;
1773;4,454;
1774;4,454;
1775;4,454;
1776;4,454;
1777;4,454;
1778;4,454;
1779;4,454;
1780;4,454;
1781;4,454;
1782;4,454;
1783;4,454;
1784;4,454;
1785;4,454;
1786;4,454;
1787;4,454;
1788;4,454;
1789;4,454;
1790;4,14;
1791;3,79;
1792;2,90;
1793;1,69;
1794;1,43;
1795;0,18;
1796;0,04;
1797;4,50;
1798;4,50;
1799;4,50;
1800;4,50;
1801;4,50;
1802;4,50;
1803;4,50;
1804;4,50;
1805;4,50;
1806;4,50;
1807;4,50;
1808;4,50;
1809;4,50;
1810;4,50;
1811;4,50;
1812;4,50;
1813;4,50;
1814;4,50;
1815;4,50;
1816;4,50;
1817;4,50;
1818;4,50;
1819;4,50;
1820;4,50;
1821;4,50;
1822;4,50;
1823;4,50;
1824;4,50;
1825;4,50;
1826;4,50;
1827;4,50;
1828;4,50;
1829;4,50;
1830;4,50;
1831;4,50;
1832;4,50;
1833;4,50;
1834;4,50;
1835;4,50;
1836;4,50;
1837;4,50;
1838;4,50;
1839;4,50;
1840;4,50;
1841;4,50;
1842;4,50;
1843;4,50;
1844;4,50;
1845;4,50;
1846;4,50;
1847;4,50;
1848;4,50;
1849;4,50;
1850;4,50;
1851;4,50;
1852;4,50;
1853;4,50;
1854;4,50;
1855;4,50;
1856;4,50;
1857;4,50;
1858;4,50;
1859;4,50;
1860;4,50;
1861;4,50;
1862;4,50;
1863;4,50;
1864;4,50;
1865;4,50;
1866;4,50;
1867;4,50;
1868;4,50;
1869;4,50;
1870;4,50;
;;
;;
;;
;;
;;
Source:;Natalis de Wailly, “Mémoire sur les variations de la livre trounois deupuis le règne de Saint Louis jusqu’ à l’établissement de la monnaie décimale,” Mémoires de l’Institut national de France.  Académie des inscriptions et belles lettres, 21, part 2 (1857): 177-427.;
;Philip T. Hoffman, Gilles Postel-Vinay, and Jean-Laurent Rosenthal, Priceless Markets: The Political Economy of Credit in Paris, 1660-1870 (Chicago, 2000);
Note:;The calculations are based on the silver value of the largest coin for which data are available at any given date.  Annual averages were calculated by weighting silver values by the number of months they were valid.;
;The large annual variations in the silver value of the livre in the fifteenth century are subject to some uncercainty.;
;For the years 1718, 1719, and 1720, the silver value of the livre is calculated from British and Dutch exchange rates, as is explained in Philip T. Hoffman, Gilles Postel-Vinay, and Jean-Laurent Rosenthal, Priceless Markets: The Political Economy of Credit in Paris, 1660-1870 (Chicago, 2000), p. 37.;
;For 1790-97, the figures are based on published appreciation tables, as is explained in Philip T. Hoffman, Gilles Postel-Vinay, and Jean-Laurent Rosenthal, Priceless Markets: The Political Economy of Credit in Paris, 1660-1870 (Chicago, 2000), p. 37.;
