
="",="(4.53)"

="Nord # European foodstuff and beverage",="90.35**"
="",="(3.07)"

="Nord # Other",="66.19*"
="",="(2.50)"

="Nord # Plantation foodstuff",="19.12"
="",="(0.68)"

="Nord # Raw mat fuel oils",="85.63**"
="",="(3.23)"

="Nord # Textile manuf",="31.90"
="",="(1.09)"

="Nord # Various manuf",="96.48***"
="",="(3.83)"

="Outre-mers # European foodstuff and beverage",="132.2***"
="",="(4.25)"

="Outre-mers # Other",="8.039"
="",="(0.14)"

="Outre-mers # Plantation foodstuff",="141.4***"
="",="(4.97)"

="Outre-mers # Raw mat fuel oils",="121.4***"
="",="(4.47)"

="Outre-mers # Textile manuf",="36.25"
="",="(0.86)"

="Outre-mers # Various manuf",="165.9***"
="",="(6.59)"

="Portugal # European foodstuff and beverage",="97.91*"
="",="(2.54)"

="Portugal # Other",="4.242"
="",="(0.13)"

="Portugal # Plantation foodstuff",="127.6***"
="",="(4.12)"

="Portugal # Raw mat fuel oils",="-1.128"
="",="(-0.04)"

="Portugal # Textile manuf",="82.17**"
="",="(2.97)"

="Portugal # Various manuf",="91.25**"
="",="(2.94)"

="Suisse # European foodstuff and beverage",="28.30"
="",="(1.14)"

="Suisse # Other",="-2.664"
="",="(-0.10)"

="Suisse # Plantation foodstuff",="-27.78"
="",="(-0.89)"

="Suisse # Raw mat fuel oils",="42.39"
="",="(1.54)"

="Suisse # Textile manuf",="58.11*"
="",="(2.30)"

="Suisse # Various manuf",="57.75*"
="",="(2.39)"

="États-Unis d'Amérique # European foodstuff and beverage",="21.17"
="",="(0.57)"

="États-Unis d'Amérique # Other",="-58.74"
="",="(-1.12)"

="États-Unis d'Amérique # Plantation foodstuff",="-83.83"
="",="(-1.72)"

="États-Unis d'Amérique # Raw mat fuel oils",="-251.0**"
="",="(-2.83)"

="États-Unis d'Amérique # Textile manuf",="-2.238"
="",="(-0.05)"

="États-Unis d'Amérique # Various manuf",="-74.88"
="",="(-1.18)"

="Allemagne # European foodstuff and beverage # year",="-0.0406"
="",="(-1.15)"

="Allemagne # Other # year",="-0.0607"
="",="(-1.83)"

="Allemagne # Plantation foodstuff # year",="-0.0214"
="",="(-0.60)"

="Allemagne # Raw mat fuel oils # year",="0.00812"
="",="(0.23)"

="Allemagne # Textile manuf # year",="-0.0296"
="",="(-0.88)"

="Allemagne # Various manuf # year",="-0.0408"
="",="(-1.21)"

="Angleterre # European foodstuff and beverage # year",="-0.139***"
="",="(-3.99)"

="Angleterre # Other # year",="-0.113**"
="",="(-3.08)"

="Angleterre # Plantation foodstuff # year",="0.316*"
="",="(2.17)"

="Angleterre # Raw mat fuel oils # year",="-0.0244"
="",="(-0.58)"

="Angleterre # Textile manuf # year",="-0.118***"
="",="(-3.31)"

="Angleterre # Various manuf # year",="-0.0685"
="",="(-1.88)"

="Espagne # European foodstuff and beverage # year",="-0.0839*"
="",="(-2.51)"

="Espagne # Other # year",="-0.0615"
="",="(-1.84)"

="Espagne # Plantation foodstuff # year",="-0.0314"
="",="(-0.90)"

="Espagne # Raw mat fuel oils # year",="-0.0763*"
="",="(-2.29)"

="Espagne # Textile manuf # year",="-0.129***"
="",="(-3.85)"

="Espagne # Various manuf # year",="-0.0710*"
="",="(-2.14)"

="Flandre et autres états de l'Empereur # European foodstuff and beverage # year",="-0.108**"
="",="(-3.17)"

="Flandre et autres états de l'Empereur # Other # year",="-0.130***"
="",="(-3.77)"

="Flandre et autres états de l'Empereur # Plantation foodstuff # year",="-0.113**"
="",="(-3.28)"

="Flandre et autres états de l'Empereur # Raw mat fuel oils # year",="-0.103**"
="",="(-3.02)"

="Flandre et autres états de l'Empereur # Textile manuf # year",="-0.133***"
="",="(-3.90)"

="Flandre et autres états de l'Empereur # Various manuf # year",="-0.114***"
="",="(-3.31)"

="Hollande # European foodstuff and beverage # year",="-0.0797*"
="",="(-2.40)"

="Hollande # Other # year",="-0.0683*"
="",="(-2.03)"

="Hollande # Plantation foodstuff # year",="-0.0599"
="",="(-1.78)"

="Hollande # Raw mat fuel oils # year",="-0.0721*"
="",="(-2.16)"

="Hollande # Textile manuf # year",="-0.0532"
="",="(-1.53)"

="Hollande # Various manuf # year",="-0.0778*"
="",="(-2.34)"

="Italie # European foodstuff and beverage # year",="-0.0539"
="",="(-1.61)"

="Italie # Other # year",="-0.0644"
="",="(-1.93)"

="Italie # Plantation foodstuff # year",="-0.0528"
="",="(-1.54)"

="Italie # Raw mat fuel oils # year",="-0.0679*"
="",="(-2.05)"

="Italie # Textile manuf # year",="-0.0994**"
="",="(-2.95)"

="Italie # Various manuf # year",="-0.0659*"
="",="(-1.99)"

="Levant et Barbarie # European foodstuff and beverage # year",="-0.121***"
="",="(-3.62)"

="Levant et Barbarie # Other # year",="-0.0949**"
="",="(-2.82)"

="Levant et Barbarie # Plantation foodstuff # year",="-0.138***"
="",="(-4.04)"

="Levant et Barbarie # Raw mat fuel oils # year",="-0.0945**"
="",="(-2.81)"

="Levant et Barbarie # Textile manuf # year",="-0.149***"
="",="(-4.41)"

="Levant et Barbarie # Various manuf # year",="-0.108**"
="",="(-3.22)"

="Nord # European foodstuff and beverage # year",="-0.0912**"
="",="(-2.65)"

="Nord # Other # year",="-0.0786*"
="",="(-2.35)"

="Nord # Plantation foodstuff # year",="-0.0513"
="",="(-1.53)"

="Nord # Raw mat fuel oils # year",="-0.0881**"
="",="(-2.61)"

="Nord # Textile manuf # year",="-0.0584"
="",="(-1.73)"

="Nord # Various manuf # year",="-0.0941**"
="",="(-2.81)"

="Outre-mers # European foodstuff and beverage # year",="-0.116**"
="",="(-3.28)"

="Outre-mers # Other # year",="-0.0479"
="",="(-1.07)"

="Outre-mers # Plantation foodstuff # year",="-0.119***"
="",="(-3.44)"

="Outre-mers # Raw mat fuel oils # year",="-0.109**"
="",="(-3.19)"

="Outre-mers # Textile manuf # year",="-0.0635"
="",="(-1.64)"

="Outre-mers # Various manuf # year",="-0.133***"
="",="(-3.95)"

="Portugal # European foodstuff and beverage # year",="-0.0961**"
="",="(-2.58)"

="Portugal # Other # year",="-0.0447"
="",="(-1.26)"

="Portugal # Plantation foodstuff # year",="-0.112**"
="",="(-3.19)"

="Portugal # Raw mat fuel oils # year",="-0.0395"
="",="(-1.15)"

="Portugal # Textile manuf # year",="-0.0879**"
="",="(-2.58)"

="Portugal # Various manuf # year",="-0.0918**"
="",="(-2.62)"

="Suisse # European foodstuff and beverage # year",="-0.0565"
="",="(-1.71)"

="Suisse # Other # year",="-0.0403"
="",="(-1.20)"

="Suisse # Plantation foodstuff # year",="-0.0269"
="",="(-0.78)"

="Suisse # Raw mat fuel oils # year",="-0.0643"
="",="(-1.91)"

="Suisse # Textile manuf # year",="-0.0726*"
="",="(-2.19)"

="Suisse # Various manuf # year",="-0.0731*"
="",="(-2.22)"

="États-Unis d'Amérique # European foodstuff and beverage # year",="-0.0525"
="",="(-1.51)"

="États-Unis d'Amérique # Other # year",="-0.0101"
="",="(-0.26)"

="États-Unis d'Amérique # Plantation foodstuff # year",="0.00609"
="",="(0.16)"

="États-Unis d'Amérique # Raw mat fuel oils # year",="0.0984"
="",="(1.82)"

="États-Unis d'Amérique # Textile manuf # year",="-0.0404"
="",="(-1.10)"

="États-Unis d'Amérique # Various manuf # year",="0"
="",="(.)"

="Constant",="-87.36***"
="",="(-3.92)"

="Observations",="2370"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
